"region","ts","snippet_title","videos","views"
"IN","2025-08-25T20-11-04Z","Music","23720","115469622974"
"CA","2025-08-25T20-11-04Z","Music","22534","97926454480"
"DE","2025-08-25T20-11-04Z","Music","27278","69434889468"
"FR","2025-08-25T20-11-04Z","Music","22534","58996746916"
"JP","2025-08-25T20-11-04Z","Music","27278","48063594056"
"KR","2025-08-25T20-11-04Z","Music","28464","45828655332"
"RU","2025-08-25T20-11-04Z","Music","18976","39546616138"
"US","2025-08-25T20-11-04Z","Music","22534","38936442858"
"GB","2025-08-25T20-11-04Z","Music","20162","37311272988"
"IN","2025-08-25T20-11-04Z","Film & Animation","9488","15196142096"
"IN","2025-08-25T20-11-04Z","Gaming","16604","12202655562"
"MX","2025-08-25T20-11-04Z","Music","23720","11317425162"
"BR","2025-08-25T20-11-04Z","Music","28464","10915479088"
"US","2025-08-25T20-11-04Z","Gaming","17790","10169243144"
"MX","2025-08-25T20-11-04Z","Gaming","24906","9901381486"
"CA","2025-08-25T20-11-04Z","Film & Animation","5930","9114763428"
"CA","2025-08-25T20-11-04Z","Gaming","20162","7142977942"
"KR","2025-08-25T20-11-04Z","Gaming","24906","7048508298"
"GB","2025-08-25T20-11-04Z","Film & Animation","3558","6677354342"
"DE","2025-08-25T20-11-04Z","Film & Animation","2372","6041927564"
"BR","2025-08-25T20-11-04Z","Gaming","27278","5722984886"
"CA","2025-08-25T20-11-04Z","Entertainment","8302","5604826078"
"GB","2025-08-25T20-11-04Z","Gaming","20162","5400542322"
"US","2025-08-25T20-11-04Z","Entertainment","10674","5129652806"
"RU","2025-08-25T20-11-04Z","Gaming","33208","5091717410"
"JP","2025-08-25T20-11-04Z","Gaming","23720","5075623390"
"GB","2025-08-25T20-11-04Z","Entertainment","10674","5038278622"
"IN","2025-08-25T20-11-04Z","Entertainment","7116","4849448446"
"DE","2025-08-25T20-11-04Z","Entertainment","8302","3408473864"
"FR","2025-08-25T20-11-04Z","Gaming","23720","2383188724"
"KR","2025-08-25T20-11-04Z","Film & Animation","3558","2042340626"
"DE","2025-08-25T20-11-04Z","Gaming","20162","2024067924"
"FR","2025-08-25T20-11-04Z","Film & Animation","4744","1832862190"
"JP","2025-08-25T20-11-04Z","Comedy","1186","1100249828"
"KR","2025-08-25T20-11-04Z","Entertainment","2372","811426806"
"MX","2025-08-25T20-11-04Z","Entertainment","2372","759217900"
"JP","2025-08-25T20-11-04Z","Entertainment","5930","640468464"
"FR","2025-08-25T20-11-04Z","People & Blogs","3558","519968492"
"US","2025-08-25T20-11-04Z","Film & Animation","3558","473125050"
"IN","2025-08-25T20-11-04Z","People & Blogs","2372","459340172"
"RU","2025-08-25T20-11-04Z","Comedy","1186","456224550"
"MX","2025-08-25T20-11-04Z","People & Blogs","8302","433411840"
"FR","2025-08-25T20-11-04Z","Entertainment","3558","354729042"
"JP","2025-08-25T20-11-04Z","Film & Animation","1186","285036124"
"RU","2025-08-25T20-11-04Z","Film & Animation","3558","278983966"
"US","2025-08-25T20-11-04Z","Sports","1186","278519054"
"BR","2025-08-25T20-11-04Z","People & Blogs","3558","209108404"
"RU","2025-08-25T20-11-04Z","Entertainment","1186","185584094"
"US","2025-08-25T20-11-04Z","People & Blogs","3558","175429562"
"GB","2025-08-25T20-11-04Z","People & Blogs","4744","149751476"
